PlayerID,OwnerID,Year,PositionID,TeamID,WinningBid
1002,10,2018,8004,9007,$47.00 
1003,4,2018,8003,9014,$5.00 
1004,8,2018,8002,9014,$18.00 
1008,7,2018,8003,9034,$2.00 
1012,2,2018,8003,9003,$32.00 
1013,7,2018,8002,9034,$1.00 
1015,8,2018,8004,9009,$6.00 
1017,10,2018,8004,9006,$15.00 
1018,6,2018,8004,9028,$13.00 
1020,5,2018,8004,9009,$34.00 
1022,5,2018,8002,9016,$5.00 
1024,3,2018,8004,9006,$3.00 
1026,11,2018,8004,9029,$69.00 
1028,9,2018,8003,9019,$2.00 
1030,13,2018,8002,9008,$3.00 
1031,10,2018,8099,9003,$1.00 
1032,11,2018,8002,9029,$4.00 
1034,4,2018,8002,9017,$2.00 
1037,8,2018,8004,9020,$26.00 
1047,1,2018,8003,9020,$3.00 
1049,7,2018,8004,9002,$3.00 
1052,6,2018,8004,9024,$1.00 
1053,8,2018,8003,9017,$4.00 
1054,8,2018,8099,9005,$1.00 
1055,4,2018,8002,9028,$5.00 
1057,7,2018,8005,9004,$1.00 
1062,11,2018,8003,9030,$14.00 
1064,2,2018,8004,9023,$23.00 
1066,11,2018,8003,9034,$9.00 
1067,1,2018,8004,9001,$3.00 
1072,3,2018,8099,9006,$1.00 
1074,7,2018,8004,9020,$6.00 
1076,5,2018,8003,9028,$8.00 
1077,1,2018,8004,9033,$16.00 
1081,13,2018,8004,9005,$5.00 
1083,6,2018,8003,9015,$4.00 
1090,1,2018,8003,9022,$58.00 
1094,10,2018,8099,9022,$1.00 
1096,10,2018,8004,9031,$1.00 
1101,1,2018,8004,9014,$44.00 
1102,8,2018,8003,9001,$73.00 
1105,3,2018,8005,9008,$3.00 
1110,5,2018,8005,9033,$8.00 
1111,5,2018,8004,9015,$26.00 
1112,13,2018,8099,9010,$1.00 
1116,8,2018,8004,9032,$1.00 
1120,6,2018,8004,9021,$3.00 
1121,9,2018,8004,9005,$11.00 
1123,13,2018,8003,9002,$47.00 
1125,9,2018,8003,9010,$4.00 
1126,13,2018,8003,9033,$15.00 
1130,11,2018,8004,9030,$22.00 
1131,9,2018,8003,9027,$1.00 
1133,6,2018,8002,9024,$7.00 
1135,4,2018,8003,9008,$10.00 
1136,1,2018,8003,9026,$1.00 
1138,9,2018,8004,9010,$16.00 
1140,13,2018,8005,9025,$6.00 
1142,10,2018,8003,9021,$1.00 
1146,2,2018,8005,9031,$1.00 
1150,2,2018,8003,9007,$1.00 
1151,13,2018,8004,9028,$17.00 
1152,8,2018,8099,9005,$1.00 
1155,9,2018,8005,9005,$10.00 
1156,4,2018,8099,9020,$1.00 
1158,1,2018,8099,9018,$1.00 
1162,6,2018,8099,9015,$1.00 
1168,6,2018,8003,9026,$18.00 
1174,6,2018,8005,9016,$6.00 
1175,1,2018,8099,9017,$3.00 
1178,5,2018,8099,9028,$1.00 
1184,9,2018,8003,9014,$11.00 
1186,3,2018,8003,9029,$6.00 
1190,5,2018,8003,9023,$6.00 
1192,8,2018,8004,9034,$16.00 
1193,10,2018,8005,9027,$1.00 
1194,13,2018,8002,9020,$3.00 
1195,7,2018,8004,9008,$28.00 
1199,1,2018,8003,9003,$1.00 
1201,4,2018,8003,9028,$18.00 
1204,10,2018,8003,9023,$1.00 
1208,13,2018,8005,9014,$12.00 
1211,2,2018,8004,9003,$1.00 
1212,6,2018,8003,9020,$2.00 
1213,10,2018,8004,9007,$1.00 
1215,10,2018,8003,9025,$1.00 
1219,13,2018,8003,9006,$40.00 
1221,5,2018,8005,9034,$8.00 
1222,11,2018,8003,9016,$1.00 
1223,3,2018,8004,9027,$5.00 
1225,8,2018,8004,9034,$1.00 
1230,5,2018,8004,9023,$18.00 
1231,11,2018,8004,9002,$65.00 
1236,9,2018,8099,9003,$1.00 
1245,11,2018,8004,9018,$6.00 
1248,4,2018,8004,9011,$4.00 
1250,11,2018,8004,9021,$4.00 
1252,5,2018,8003,9011,$12.00 
1256,11,2018,8005,9022,$3.00 
1259,9,2018,8003,9015,$38.00 
1260,7,2018,8004,9001,$35.00 
1261,7,2018,8003,9022,$1.00 
1263,6,2018,8003,9029,$79.00 
1264,2,2018,8003,9017,$52.00 
1265,3,2018,8003,9004,$55.00 
1267,2,2018,8099,9019,$1.00 
1268,4,2018,8099,9020,$2.00 
1272,6,2018,8002,9033,$2.00 
1274,7,2018,8003,9024,$22.00 
1275,5,2018,8003,9016,$15.00 
1276,6,2018,8004,9017,$1.00 
1279,5,2018,8004,9031,$15.00 
1280,3,2018,8003,9027,$20.00 
1281,1,2018,8004,9027,$1.00 
1282,4,2018,8004,9011,$16.00 
1283,2,2018,8099,9014,$1.00 
1284,9,2018,8003,9031,$9.00 
1285,11,2018,8099,9002,$1.00 
1287,9,2018,8002,9002,$3.00 
1288,7,2018,8002,9011,$4.00 
1291,9,2018,8003,9019,$73.00 
1294,8,2018,8004,9003,$7.00 
1295,4,2018,8004,9009,$3.00 
1297,10,2018,8004,9024,$65.00 
1300,3,2018,8004,9032,$50.00 
1301,1,2018,8005,9021,$1.00 
1302,3,2018,8004,9019,$1.00 
1304,5,2018,8099,9022,$2.00 
1308,2,2018,8004,9028,$2.00 
1309,11,2018,8099,9023,$1.00 
1310,7,2018,8099,9024,$1.00 
1312,7,2018,8003,9008,$8.00 
1315,5,2018,8003,9016,$9.00 
1317,1,2018,8004,9025,$56.00 
1320,3,2018,8002,9018,$5.00 
1321,1,2018,8004,9034,$1.00 
1323,3,2018,8099,9028,$1.00 
1324,10,2018,8002,9019,$1.00 
1326,7,2018,8004,9031,$8.00 
1332,11,2018,8004,9014,$8.00 
1333,4,2018,8003,9030,$11.00 
1335,2,2018,8003,9023,$9.00 
1337,2,2018,8004,9026,$1.00 
1338,8,2018,8005,9023,$35.00 
1339,7,2018,8099,9031,$1.00 
1340,2,2018,8004,9026,$10.00 
1342,4,2018,8004,9020,$5.00 
1344,4,2018,8003,9032,$11.00 
1346,13,2018,8003,9010,$42.00 
1348,1,2018,8002,9030,$7.00 
1351,8,2018,8002,9026,$1.00 
1355,3,2018,8004,9018,$5.00 
1357,8,2018,8003,9025,$58.00 
1358,9,2018,8099,9030,$1.00 
1360,3,2018,8003,9023,$7.00 
1362,6,2018,8099,9023,$1.00 
1363,9,2018,8004,9025,$6.00 
1365,2,2018,8004,9016,$41.00 
1370,3,2018,8004,9033,$4.00 
1375,13,2018,8003,9002,$12.00 
1376,6,2018,8003,9011,$1.00 
1378,5,2018,8002,9023,$0.00 
1383,10,2018,8004,9031,$1.00 
1385,2,2018,8005,9006,$1.00 
1394,13,2018,8004,9018,$40.00 
1400,13,2018,8099,9024,$1.00 
1401,4,2018,8004,9015,$4.00 
1404,10,2018,8005,9028,$23.00 
1002,6,2019,8004,9007,$7.00 
1005,7,2019,8004,9022,$41.00 
1007,10,2019,8099,9016,$1.00 
1008,3,2019,8003,9034,$1.00 
1011,5,2019,8004,9021,$1.00 
1014,4,2019,8003,9022,$6.00 
1017,2,2019,8004,9006,$6.00 
1018,10,2019,8004,9028,$9.00 
1019,1,2019,8003,9024,$85.00 
1020,11,2019,8004,9009,$33.00 
1022,4,2019,8002,9012,$6.00 
1023,7,2019,8004,9001,$3.00 
1024,4,2019,8004,9006,$1.00 
1026,8,2019,8004,9012,$65.00 
1031,7,2019,8099,9003,$1.00 
1032,1,2019,8002,9029,$4.00 
1037,8,2019,8004,9020,$12.00 
1040,6,2019,8099,9026,$1.00 
1045,4,2019,8099,9004,$1.00 
1047,12,2019,8003,9012,$1.00 
1049,5,2019,8004,9002,$12.00 
1051,6,2019,8002,9005,$1.00 
1053,1,2019,8003,9015,$1.00 
1055,2,2019,8002,9028,$2.00 
1060,12,2019,8099,9006,$2.00 
1063,2,2019,8004,9032,$9.00 
1068,2,2019,8003,9005,$96.00 
1074,12,2019,8004,9020,$26.00 
